Sep = ,
"Delimiter = ,"
AethLabs
Device ID = AE51-S2-358-1012
Application version = 2.2.4.0
Flow = 99 ml/min
Timebase = 1 s
Start date = 2019/09/25
Start time = 09:12:00
Original date format = yyyy/MM/dd
Original time format = hh:mm:ss
Flow units = ml/min
PCB temp units = deg C
Battery units = %
BC units = ng/m^3

Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC

2019/09/25,09:12:00,918458,858953,"6.698",99,31,0,100,
2019/09/25,09:12:01,918498,858969,"6.701",99,31,0,100,8580
2019/09/25,09:12:02,918459,858921,"6.702",99,31,0,100,4620
2019/09/25,09:12:03,918488,858925,"6.705",99,31,0,100,9266
2019/09/25,09:12:04,918437,858871,"6.705",99,31,0,100,2528
2019/09/25,09:12:05,918476,858887,"6.708",99,31,0,100,8205
2019/09/25,09:12:06,918474,858874,"6.709",99,31,0,100,4461
2019/09/25,09:12:07,918389,858779,"6.711",99,31,0,100,6219
2019/09/25,09:12:08,918442,858816,"6.712",99,31,0,100,5034
2019/09/25,09:12:09,918439,858792,"6.715",99,31,0,100,8496
2019/09/25,09:12:10,918401,858746,"6.716",99,31,0,100,4196
2019/09/25,09:12:11,918459,858783,"6.718",99,31,0,100,6908
2019/09/25,09:12:12,918405,858733,"6.718",99,31,0,100,-197
2019/09/25,09:12:13,918468,858779,"6.720",99,31,0,100,5174
2019/09/25,09:12:14,918426,858727,"6.721",99,31,0,100,5103
2019/09/25,09:12:15,918442,858717,"6.724",99,31,0,100,10006
2019/09/25,09:12:16,918322,858596,"6.725",99,31,0,100,3530
2019/09/25,09:12:17,918435,858678,"6.728",99,31,0,100,9481
2019/09/25,09:12:18,918378,858609,"6.730",99,31,0,100,6298
2019/09/25,09:12:19,918307,858528,"6.731",99,31,0,100,5862
2019/09/25,09:12:20,918279,858490,"6.733",99,31,0,100,4741
2019/09/25,09:12:21,918399,858585,"6.735",99,31,0,100,6891
2019/09/25,09:12:22,918347,858518,"6.737",99,31,0,100,7372
2019/09/25,09:12:23,918366,858524,"6.738",99,31,0,100,4716
2019/09/25,09:12:24,918379,858523,"6.740",99,31,0,100,5274
2019/09/25,09:12:25,918343,858476,"6.741",99,31,0,100,5352
2019/09/25,09:12:26,918328,858445,"6.743",99,31,0,100,6808
2019/09/25,09:12:27,918306,858413,"6.745",99,31,0,100,4585
2019/09/25,09:12:28,918284,858367,"6.747",99,31,0,100,10200
2019/09/25,09:12:29,918303,858369,"6.749",99,31,0,100,6320
2019/09/25,09:12:30,918303,858345,"6.752",99,31,0,100,9625
2019/09/25,09:12:31,918274,858307,"6.753",99,31,0,100,4369
2019/09/25,09:12:32,918298,858312,"6.755",99,31,0,100,6992
2019/09/25,09:12:33,918251,858253,"6.757",99,31,0,100,6045
2019/09/25,09:12:34,918216,858209,"6.758",99,31,0,100,4527
2019/09/25,09:12:35,918164,858150,"6.760",99,31,0,100,4171
2019/09/25,09:12:36,918183,858149,"6.762",99,31,0,100,7525
2019/09/25,09:12:37,918263,858216,"6.763",99,31,0,100,3116
2019/09/25,09:12:38,918287,858213,"6.766",99,31,0,100,10200
2019/09/25,09:12:39,918272,858185,"6.767",99,31,0,100,5608
2019/09/25,09:12:40,918248,858145,"6.769",99,31,0,100,7048
2019/09/25,09:12:41,918240,858127,"6.771",99,31,0,100,4222
2019/09/25,09:12:42,918154,858027,"6.773",99,31,0,100,7876
2019/09/25,09:12:43,918292,858148,"6.774",99,31,0,100,3194
2019/09/25,09:12:44,918214,858061,"6.776",99,31,0,100,5660
2019/09/25,09:12:45,918109,857944,"6.778",99,31,0,100,7575
2019/09/25,09:12:46,918212,858020,"6.780",99,31,0,100,8124
2019/09/25,09:12:47,918213,858018,"6.780",99,31,0,100,1177
2019/09/25,09:12:48,918172,857955,"6.783",99,31,0,100,9906
2019/09/25,09:12:49,918173,857941,"6.785",99,31,0,100,5992
2019/09/25,09:12:50,918237,857992,"6.786",99,31,0,100,3531
2019/09/25,09:12:51,918268,858002,"6.788",99,31,0,100,7609
2019/09/25,09:12:52,918195,857927,"6.789",99,31,0,100,2725
2019/09/25,09:12:53,918232,857940,"6.792",99,31,0,100,8655
2019/09/25,09:12:54,918204,857907,"6.792",99,31,0,100,2744
2019/09/25,09:12:55,918224,857898,"6.796",99,31,0,100,11109
2019/09/25,09:12:56,918241,857911,"6.796",99,31,0,100,1157
2019/09/25,09:12:57,918302,857950,"6.798",99,31,0,100,7219
2019/09/25,09:12:58,918306,857936,"6.800",99,31,0,100,7117
2019/09/25,09:12:59,918244,857866,"6.802",99,31,0,100,4846
2019/09/25,09:13:00,918299,857908,"6.803",99,31,0,100,3765
2019/09/25,09:13:01,918244,857838,"6.805",99,31,0,100,7471
2019/09/25,09:13:02,918280,857857,"6.806",99,31,0,100,5871
2019/09/25,09:13:03,918203,857768,"6.808",99,31,0,100,6849
2019/09/25,09:13:04,918174,857735,"6.809",99,31,0,100,2371
2019/09/25,09:13:05,918209,857754,"6.811",99,31,0,100,5497
2019/09/25,09:13:06,918241,857764,"6.813",99,31,0,100,7984
2019/09/25,09:13:07,918238,857745,"6.815",99,31,0,100,6501
