2019-09-16 at 9:59,,,,,,
System_Date_(Y-M-D),System_Time_(h:m:s),CO₂_(µmol_mol⁻¹),H₂O_(mmol_mol⁻¹),CO₂_Absorption,H₂O_Absorption,Flow_Rate_(L_min⁻¹)
16-09-2019,09:59:12,4.79E+02,2.53E+01,9.01E-02,1.27E-01,7.38E-01
16-09-2019,09:59:13,4.74E+02,2.53E+01,8.89E-02,1.26E-01,7.33E-01
16-09-2019,09:59:14,4.74E+02,2.53E+01,8.96E-02,1.26E-01,7.30E-01
16-09-2019,09:59:15,4.77E+02,2.53E+01,8.97E-02,1.26E-01,7.52E-01
16-09-2019,09:59:16,4.72E+02,2.53E+01,8.88E-02,1.26E-01,7.40E-01
16-09-2019,09:59:17,4.69E+02,2.54E+01,8.89E-02,1.27E-01,7.34E-01
16-09-2019,09:59:18,4.70E+02,2.53E+01,8.86E-02,1.26E-01,7.42E-01
16-09-2019,09:59:19,4.60E+02,2.53E+01,8.74E-02,1.26E-01,7.41E-01
16-09-2019,09:59:20,4.65E+02,2.53E+01,8.81E-02,1.26E-01,7.43E-01
16-09-2019,09:59:21,4.67E+02,2.53E+01,8.88E-02,1.27E-01,7.42E-01
16-09-2019,09:59:22,4.67E+02,2.53E+01,8.88E-02,1.27E-01,7.42E-01
16-09-2019,09:59:23,4.69E+02,2.53E+01,8.86E-02,1.26E-01,7.39E-01
16-09-2019,09:59:24,4.63E+02,2.53E+01,8.77E-02,1.26E-01,7.32E-01
16-09-2019,09:59:25,4.68E+02,2.53E+01,8.91E-02,1.26E-01,7.46E-01
16-09-2019,09:59:26,5.06E+02,2.54E+01,9.52E-02,1.27E-01,7.39E-01
16-09-2019,09:59:27,5.32E+02,2.55E+01,9.71E-02,1.27E-01,7.32E-01
16-09-2019,09:59:28,5.57E+02,2.56E+01,1.01E-01,1.27E-01,7.48E-01
16-09-2019,09:59:29,5.29E+02,2.56E+01,9.66E-02,1.27E-01,7.70E-01
16-09-2019,09:59:30,5.20E+02,2.55E+01,9.48E-02,1.27E-01,7.78E-01
