                                 Test Report,,,,,
,,,,,
>>Start Time: 01/10/19 09:11:06       End Time: 01/10/19 13:43:35,,,,,
>>Sampling rate: 1sec,,,,,
>>Data number: 16350,,,,,
>>Temp Alarm HI: 40 C   Temp Alarm Low: 0 C,,,,,
>>RH Alarm HI: 90 %RH   RH Alarm Low: 10 %RH,,,,,
>>Temp MAX: 31.4 C @13:22:19 01/10/19  Temp MIN: 27.6 C @09:13:18 01/10/19  Temp AVG: 29.69 C,,,,,
>>RH MAX: 66.3 %RH @09:13:21 01/10/19  RH MIN: 53.6 %RH @13:25:45 01/10/19  RH AVG: 58.66 %RH,,,,,
----------------------------------------------------------------------------------------------------,,,,,
      NO            ,   Temp              ,,  RH                 ,, TIME 
1,   27.6 C           ,,   65.8 %RH           ,,01-10-19/09:11:06 
2,   27.6 C           ,,   65.8 %RH           ,,01-10-19/09:11:07 
3,   27.6 C           ,,   65.8 %RH           ,,01-10-19/09:11:08 
4,   27.6 C           ,,   65.7 %RH           ,,01-10-19/09:11:09 
5,   27.6 C           ,,   65.7 %RH           ,,01-10-19/09:11:10 
6,   27.6 C           ,,   65.7 %RH           ,,01-10-19/09:11:11 
7,   27.6 C           ,,   65.7 %RH           ,,01-10-19/09:11:12 
8,   27.6 C           ,,   65.7 %RH           ,,01-10-19/09:11:13 
9,   27.6 C           ,,   65.7 %RH           ,,01-10-19/09:11:14 
10,   27.6 C           ,,   65.7 %RH           ,,01-10-19/09:11:15 
11,   27.6 C           ,,   65.7 %RH           ,,01-10-19/09:11:16 
12,   27.6 C           ,,   65.7 %RH           ,,01-10-19/09:11:17 
13,   27.6 C           ,,   65.8 %RH           ,,01-10-19/09:11:18 
14,   27.6 C           ,,   65.8 %RH           ,,01-10-19/09:11:19 
15,   27.6 C           ,,   65.8 %RH           ,,01-10-19/09:11:20 
16,   27.6 C           ,,   65.8 %RH           ,,01-10-19/09:11:21 
17,   27.6 C           ,,   65.8 %RH           ,,01-10-19/09:11:22 
18,   27.6 C           ,,   65.9 %RH           ,,01-10-19/09:11:23 
19,   27.6 C           ,,   65.9 %RH           ,,01-10-19/09:11:24 
20,   27.6 C           ,,   65.9 %RH           ,,01-10-19/09:11:25 
21,   27.6 C           ,,   65.9 %RH           ,,01-10-19/09:11:26 
22,   27.6 C           ,,   65.9 %RH           ,,01-10-19/09:11:27 
23,   27.6 C           ,,   66.0 %RH           ,,01-10-19/09:11:28 
24,   27.6 C           ,,   66.0 %RH           ,,01-10-19/09:11:29 
25,   27.6 C           ,,   66.0 %RH           ,,01-10-19/09:11:30 
26,   27.6 C           ,,   66.0 %RH           ,,01-10-19/09:11:31 
27,   27.6 C           ,,   66.0 %RH           ,,01-10-19/09:11:32 
28,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:11:33 
29,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:11:34 
30,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:11:35 
31,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:11:36 
32,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:11:37 
33,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:11:38 
34,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:11:39 
35,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:11:40 
36,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:11:41 
37,   27.6 C           ,,   66.1 %RH           ,,01-10-19/09:11:42 
38,   27.6 C           ,,   66.2 %RH           ,,01-10-19/09:11:43 
39,   27.6 C           ,,   66.2 %RH           ,,01-10-19/09:11:44 
40,   27.6 C           ,,   66.2 %RH           ,,01-10-19/09:11:45 
41,   27.6 C           ,,   66.2 %RH           ,,01-10-19/09:11:46 
42,   27.6 C           ,,   66.2 %RH           ,,01-10-19/09:11:47 
43,   27.6 C           ,,   66.2 %RH           ,,01-10-19/09:11:48 
