"","date(LT)","Latitude","Longitude","AE51_BC (ug/m3)","AE51_BC_NR (ug/m3)","AE51_BC_NR_LC (ug/m3)","DT8530_PM2.5 (ug/m3)","DT8530_PM2.5_RHC (ug/m3)","DT8530_PM2.5_RHC_Ref (ug/m3)","DT8530_PM2.5_Ref (ug/m3)","RH(%)","CPC3007_Particle Concentration (#/cm3)","LI-COR_CO2 (ppm)"
"1",2019-09-25 09:59:24,13.0056896154,77.6205807924,20.205,20.205,26.1783071265818,197,134.938002792266,134.938002792266,197,0.719,328784.5,480
"2",2019-09-25 09:59:25,13.0057355482,77.6206119731,18.197,18.197,23.5776674227923,157,107.539423545106,107.539423545106,157,0.719,338211.5,478
"3",2019-09-25 09:59:26,13.0057769548,77.6206348557,13.97,13.97,18.1013980729532,141,96.5799918462413,96.5799918462413,141,0.719,337661.5,480
"4",2019-09-25 09:59:27,13.0058150925,77.6206551399,15.381,15.381,19.9303513936772,138,94.5250984027043,94.5250984027043,138,0.719,316921,469
"5",2019-09-25 09:59:28,13.0058470275,77.6206765138,18.178,18.178,23.5558341845833,130,89.0453825532721,89.0453825532721,130,0.719,303264.5,463
"6",2019-09-25 09:59:29,13.0058759451,77.6207008213,13.275,13.275,17.2027517449411,114,78.0859508544079,78.0859508544079,114,0.719,283145.5,461
"7",2019-09-25 09:59:30,13.0059084669,77.6207247935,20.194,20.194,26.1702426641196,110,75.4963115841326,75.4963115841326,110,0.718,256014,475
"8",2019-09-25 09:59:31,13.005947778,77.6207518671,30.479,30.479,39.502003166806,119,81.6732825319253,81.6732825319253,119,0.718,232754.5,504
"9",2019-09-25 09:59:32,13.0059971474,77.6207846403,46.568,46.568,60.3611265172961,126,86.4775932690974,86.4775932690974,126,0.718,267789.5,501
"10",2019-09-25 09:59:33,13.0060536414,77.6208257116,37.003,37.003,47.9670886457804,134,91.9682341115798,91.9682341115798,134,0.718,340378.5,494
"11",2019-09-25 09:59:34,13.0061128177,77.6208710577,25.376,25.376,32.8971995015586,172,118.282790298702,118.282790298702,172,0.717,379362.5,488
"12",2019-09-25 09:59:35,13.0061712395,77.6209150627,24.055,24.055,31.1865113345655,249,171.234969676609,171.234969676609,249,0.717,395928.5,476
"13",2019-09-25 09:59:36,13.0062257219,77.6209538709,12.434,12.434,16.1206778375419,302,207.682573664,207.682573664,302,0.717,392606.5,476
"14",2019-09-25 09:59:37,13.0062685534,77.6209865604,17.356,17.356,22.5029996611135,333,229.000983543417,229.000983543417,333,0.717,392480,476
"15",2019-09-25 09:59:38,13.0063050147,77.6210120413,17.779,17.779,23.0526101297638,310,213.184098794172,213.184098794172,310,0.717,391759.5,481
